timestamp,code,volume_in,volume_out
2026-02-07 00:00:00,AA00-00,550546798,336342335
2026-02-07 00:00:00,BB00-00,228478812,634604563
2026-02-07 00:00:00,CC00-00,42156949,236490851
2026-02-07 00:00:00,DD00-00,346015302,612770088
2026-02-07 00:00:00,EE00-00,421389454,417833854
2026-02-07 00:00:00,FF00-00,634451200,305875442
2026-02-07 00:00:00,GG00-00,577921483,493174806
2026-02-07 00:00:00,HH00-00,106688684,204610269
2026-02-07 00:00:00,II00-00,541079754,557754140
2026-02-07 00:00:00,JJ00-00,203006382,332128775
2026-02-07 00:00:00,KK00-00,506454184,377748972
2026-02-07 00:00:00,LL00-00,67819308,450504094
2026-02-07 00:00:00,MM00-00,308245288,404917766
2026-02-07 00:00:00,NN00-00,366603135,446659989
2026-02-07 00:00:00,OO00-00,408503616,534347283
2026-02-07 00:00:00,PP00-00,70383652,522440862
2026-02-07 00:00:00,QQ00-00,633681500,327733304
2026-02-07 00:00:00,RR00-00,306616891,398305614
2026-02-07 00:00:00,SS00-00,389363148,300699352
2026-02-07 00:00:00,TT00-00,428337547,463290834
2026-02-07 00:00:00,UU00-00,93580474,205888295
2026-02-07 00:00:00,VV00-00,229721414,388552999
2026-02-07 00:00:00,WW00-00,105812939,504459720
2026-02-07 00:00:00,XX00-00,439903706,557533279
2026-02-07 00:00:00,YY00-00,190386461,346667816
2026-02-07 00:00:00,ZZ00-00,77296874,385548559
2026-02-07 00:05:00,AA00-00,495977226,313083030
2026-02-07 00:05:00,BB00-00,230042624,678589241
2026-02-07 00:05:00,CC00-00,39288953,249260392
2026-02-07 00:05:00,DD00-00,370392752,631489221
2026-02-07 00:05:00,EE00-00,462966143,384670121
2026-02-07 00:05:00,FF00-00,614835860,290896778
2026-02-07 00:05:00,GG00-00,616847143,524205597
2026-02-07 00:05:00,HH00-00,105822913,184532855
2026-02-07 00:05:00,II00-00,572281379,575647460
2026-02-07 00:05:00,JJ00-00,217639637,323528133
2026-02-07 00:05:00,KK00-00,537638512,355068309
2026-02-07 00:05:00,LL00-00,65381094,489567386
2026-02-07 00:05:00,MM00-00,310299936,416171209
2026-02-07 00:05:00,NN00-00,344741557,483404050
2026-02-07 00:05:00,OO00-00,418044169,514373934
2026-02-07 00:05:00,PP00-00,64019214,568986069
2026-02-07 00:05:00,QQ00-00,600118494,299324223
2026-02-07 00:05:00,RR00-00,303750924,371682688
2026-02-07 00:05:00,SS00-00,364751662,303244017
2026-02-07 00:05:00,TT00-00,445744098,487084031
2026-02-07 00:05:00,UU00-00,102201891,210721141
2026-02-07 00:05:00,VV00-00,207185089,416244853
2026-02-07 00:05:00,WW00-00,96394696,464652311
2026-02-07 00:05:00,XX00-00,433459622,523778366
2026-02-07 00:05:00,YY00-00,196237605,322580790
2026-02-07 00:05:00,ZZ00-00,81930429,373577297
2026-02-07 00:10:00,AA00-00,489876438,298537788
2026-02-07 00:10:00,BB00-00,215779193,700046448
2026-02-07 00:10:00,CC00-00,39515136,241642186
2026-02-07 00:10:00,DD00-00,374907351,623943094
2026-02-07 00:10:00,EE00-00,508063532,350278480
2026-02-07 00:10:00,FF00-00,627479595,272686386
2026-02-07 00:10:00,GG00-00,625573076,532975014
2026-02-07 00:10:00,HH00-00,103365572,186556693
2026-02-07 00:10:00,II00-00,557620215,540104077
2026-02-07 00:10:00,JJ00-00,198184596,333284207
2026-02-07 00:10:00,KK00-00,520734211,363784404
2026-02-07 00:10:00,LL00-00,66912013,522280146
2026-02-07 00:10:00,MM00-00,285789720,416822929
2026-02-07 00:10:00,NN00-00,318615474,478493311
2026-02-07 00:10:00,OO00-00,401929773,563031322
2026-02-07 00:10:00,PP00-00,65998169,548210803
2026-02-07 00:10:00,QQ00-00,585795015,301834727
2026-02-07 00:10:00,RR00-00,313042244,373875470
2026-02-07 00:10:00,SS00-00,380579148,302225687
2026-02-07 00:10:00,TT00-00,452263868,468977225
2026-02-07 00:10:00,UU00-00,109562295,230900192
2026-02-07 00:10:00,VV00-00,226827404,391921020
2026-02-07 00:10:00,WW00-00,91271644,429276846
2026-02-07 00:10:00,XX00-00,418269734,519952454
2026-02-07 00:10:00,YY00-00,194702443,335326522
2026-02-07 00:10:00,ZZ00-00,87145780,358437049
2026-02-07 00:15:00,AA00-00,521806936,311506956
2026-02-07 00:15:00,BB00-00,203320493,755610899
2026-02-07 00:15:00,CC00-00,43380496,229744784
2026-02-07 00:15:00,DD00-00,400912315,665822139
2026-02-07 00:15:00,EE00-00,510584117,356454917
2026-02-07 00:15:00,FF00-00,635034794,287892177
2026-02-07 00:15:00,GG00-00,569496814,488394776
2026-02-07 00:15:00,HH00-00,105336369,176273268
2026-02-07 00:15:00,II00-00,539214374,541263793
2026-02-07 00:15:00,JJ00-00,192224185,314656900
2026-02-07 00:15:00,KK00-00,564467726,345057554
2026-02-07 00:15:00,LL00-00,60774264,527176913
2026-02-07 00:15:00,MM00-00,263075921,438849147
2026-02-07 00:15:00,NN00-00,314343088,448956894
2026-02-07 00:15:00,OO00-00,407139609,564529699
2026-02-07 00:15:00,PP00-00,66447623,517340049
2026-02-07 00:15:00,QQ00-00,530065303,316563615
2026-02-07 00:15:00,RR00-00,301163200,343205919
2026-02-07 00:15:00,SS00-00,354279025,300091260
2026-02-07 00:15:00,TT00-00,469684258,493365829
2026-02-07 00:15:00,UU00-00,110071659,232985799
2026-02-07 00:15:00,VV00-00,218502389,380666270
2026-02-07 00:15:00,WW00-00,89303948,439007408
2026-02-07 00:15:00,XX00-00,388118962,477926976
2026-02-07 00:15:00,YY00-00,192502629,351640347
2026-02-07 00:15:00,ZZ00-00,79650349,388886626
2026-02-07 00:20:00,AA00-00,472030640,288415942
2026-02-07 00:20:00,BB00-00,194547894,765318190
2026-02-07 00:20:00,CC00-00,46633534,236590230
2026-02-07 00:20:00,DD00-00,411183071,612524190
2026-02-07 00:20:00,EE00-00,534159296,342428043
2026-02-07 00:20:00,FF00-00,659105337,294010045
2026-02-07 00:20:00,GG00-00,586291493,472100470
2026-02-07 00:20:00,HH00-00,113985203,184293705
2026-02-07 00:20:00,II00-00,576726440,500759036
2026-02-07 00:20:00,JJ00-00,203586166,302973611
2026-02-07 00:20:00,KK00-00,586344443,370754063
2026-02-07 00:20:00,LL00-00,63087665,551115384
2026-02-07 00:20:00,MM00-00,260599353,400657248
2026-02-07 00:20:00,NN00-00,317687562,487651485
2026-02-07 00:20:00,OO00-00,376643466,597729329
2026-02-07 00:20:00,PP00-00,63994240,539134080
2026-02-07 00:20:00,QQ00-00,568396021,336431485
2026-02-07 00:20:00,RR00-00,307024800,374794481
2026-02-07 00:20:00,SS00-00,319071898,298545133
2026-02-07 00:20:00,TT00-00,443175046,489805249
2026-02-07 00:20:00,UU00-00,118034302,254904096
2026-02-07 00:20:00,VV00-00,229120255,349922910
2026-02-07 00:20:00,WW00-00,96464896,450689697
2026-02-07 00:20:00,XX00-00,395556439,449233389
2026-02-07 00:20:00,YY00-00,208563091,371936374
2026-02-07 00:20:00,ZZ00-00,74321665,387282277
2026-02-07 00:25:00,AA00-00,430842533,281211997
2026-02-07 00:25:00,BB00-00,208196883,832877888
2026-02-07 00:25:00,CC00-00,48878185,237011931
2026-02-07 00:25:00,DD00-00,413959923,657583474
2026-02-07 00:25:00,EE00-00,584014969,370174858
2026-02-07 00:25:00,FF00-00,612598337,268138910
2026-02-07 00:25:00,GG00-00,617375158,449655495
2026-02-07 00:25:00,HH00-00,103487176,184413172
2026-02-07 00:25:00,II00-00,612746477,461267339
2026-02-07 00:25:00,JJ00-00,188600029,330304273
2026-02-07 00:25:00,KK00-00,532947125,400615374
2026-02-07 00:25:00,LL00-00,59550366,510022911
2026-02-07 00:25:00,MM00-00,240620546,363272835
2026-02-07 00:25:00,NN00-00,304618911,440763792
2026-02-07 00:25:00,OO00-00,358828302,559002457
2026-02-07 00:25:00,PP00-00,61172782,532123158
2026-02-07 00:25:00,QQ00-00,528194612,308389434
2026-02-07 00:25:00,RR00-00,306718311,377624326
2026-02-07 00:25:00,SS00-00,295577810,303797013
2026-02-07 00:25:00,TT00-00,464399648,533887354
